City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
311,Sao Joao Da Barra,BR,72.54,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
326,Berbera,SO,73.74,broken clouds,10.4396,45.0143,IBCO REAL ESTATE PROPERTY
327,Yambio,SS,71.24,overcast clouds,4.5721,28.3955,Naivasha Hotel
336,Maridi,SS,74.44,overcast clouds,4.9158,29.4742,
340,Vila Velha,BR,71.6,broken clouds,-20.3297,-40.2925,Quality Suites Vila Velha
373,Mpulungu,ZM,71.55,light rain,-8.7623,31.1141,Nhkupi Lodge
381,Venado Tuerto,AR,70.0,clear sky,-33.7456,-61.9688,Hotel - Miro Park
389,Bokoro,TD,73.29,clear sky,12.3807,17.0568,
390,Nishihara,JP,73.4,few clouds,26.1842,127.7558,Minshuku Agaihama
395,Cooma,AU,71.6,overcast clouds,-36.2333,149.1333,High Country Motel
403,Fougamou,GA,73.65,overcast clouds,-1.2154,10.5838,Résidence d'Hôtes Bapedy
419,Serra Talhada,BR,73.94,clear sky,-7.9919,-38.2983,Pousada São Luiz
457,Eirunepe,BR,73.18,overcast clouds,-6.6603,-69.8736,Atrás de você
464,Uong Bi,VN,71.6,broken clouds,21.0333,106.7833,khach san Trung lien
469,Wiwili,NI,70.32,clear sky,13.6268,-85.8254,Hospedaje gladita
476,Puerto Leguizamo,CO,71.6,light rain,-0.1934,-74.7819,la casona de juancho
488,Belsand,IN,74.01,clear sky,26.45,85.4,Pachnaur road Raza Bag Belsand
