City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
242,Ponta Delgada,PT,37.7333,-25.6667,60.8,88,40,6.91,scattered clouds
243,Bengkulu,ID,-3.8004,102.2655,81.66,71,100,9.22,heavy intensity rain
244,Karratha,AU,-20.7377,116.8463,88.88,56,5,13.06,clear sky
245,Marsa Matruh,EG,31.3525,27.2453,51.8,76,0,5.75,clear sky
246,Salalah,OM,17.0151,54.0924,71.6,68,0,2.3,clear sky
247,San Policarpo,PH,12.1791,125.5072,81.63,80,81,11.56,broken clouds
248,Whitehorse,CA,60.7161,-135.0538,19.4,53,75,9.22,broken clouds
249,Domoni,KM,-12.2569,44.5319,79.36,81,73,8.7,broken clouds
250,Bodden Town,KY,19.2833,-81.25,79.0,69,75,10.36,broken clouds
251,El Bagre,CO,7.5927,-74.8086,75.81,93,100,2.35,overcast clouds
252,Cabo San Lucas,MX,22.8909,-109.9124,69.8,77,1,2.3,clear sky
253,Mae Ramat,TH,16.984,98.5166,77.0,53,0,1.14,haze
254,Riyadh,SA,24.6877,46.7219,59.0,36,0,9.82,clear sky
255,Kranjska Gora,SI,46.4839,13.7894,33.01,88,0,1.81,clear sky
256,Kargopol,RU,61.5071,38.9456,6.26,94,100,10.67,overcast clouds
257,Lebu,CL,-37.6167,-73.65,59.16,83,92,15.9,overcast clouds
258,Tiksi,RU,71.6872,128.8694,-14.12,88,100,7.23,overcast clouds
259,Asosa,ET,10.0667,34.5333,67.21,26,82,4.68,broken clouds
260,Corrales,US,35.2378,-106.6067,59.0,20,1,5.75,clear sky
261,Olafsvik,IS,64.8945,-23.7142,41.0,77,100,20.58,light rain
262,Tres Arroyos,AR,-38.3739,-60.2798,67.89,81,100,10.74,overcast clouds
263,Praia Da Vitoria,PT,38.7333,-27.0667,61.0,94,75,11.01,light intensity drizzle
264,Butaritari,KI,3.0707,172.7902,80.74,81,38,12.68,scattered clouds
265,Bangalore,IN,12.9762,77.6033,73.4,73,3,3.44,mist
266,Vrangel,RU,42.7297,133.0839,32.45,83,0,6.17,clear sky
267,Nyirbeltek,HU,47.7,22.1333,28.4,86,20,6.91,few clouds
268,Carutapera,BR,-1.195,-46.02,76.3,92,94,5.84,overcast clouds
269,Bosaso,SO,11.2842,49.1816,73.22,76,43,5.86,scattered clouds
270,Esperance,AU,-33.8667,121.9,68.0,73,90,8.05,overcast clouds
271,Artesia,US,33.8658,-118.0831,57.99,67,1,3.44,clear sky
272,Imbituba,BR,-28.24,-48.6703,73.4,88,40,1.14,scattered clouds
273,Guane,CU,22.2025,-84.0875,66.06,77,60,11.61,broken clouds
274,San Cristobal,VE,7.7669,-72.225,78.8,83,75,2.3,broken clouds
275,Tautira,PF,-17.7333,-149.15,86.0,74,75,6.91,broken clouds
276,Trairi,BR,-3.2778,-39.2689,77.11,87,99,6.24,overcast clouds
277,Mizque,BO,-17.941,-65.3402,58.77,75,16,1.7,few clouds
278,Saquarema,BR,-22.92,-42.5103,75.2,88,75,4.61,broken clouds
279,Ayan,RU,56.45,138.1667,14.99,86,83,3.2,broken clouds
280,Kabarnet,KE,0.4919,35.743,56.17,72,0,4.05,clear sky
281,Auki,SB,-8.7676,160.7034,82.87,76,100,1.74,overcast clouds
282,Chhatarpur,IN,24.9,79.6,80.87,16,0,10.47,clear sky
283,Lyndon,US,38.2567,-85.6016,48.2,26,1,2.75,clear sky
284,Nuevo Ideal,MX,24.8875,-105.0728,54.3,39,4,2.51,clear sky
285,Bacolod,PH,10.6667,122.95,85.28,62,100,14.41,overcast clouds
286,Kieta,PG,-6.2167,155.6333,83.28,68,100,3.06,light rain
287,Port Hawkesbury,CA,45.6169,-61.3485,19.0,79,1,4.61,clear sky
288,Balakhta,RU,55.38,91.6,11.77,92,67,4.03,broken clouds
289,Oranjemund,NA,-28.55,16.4333,62.73,90,56,8.79,broken clouds
290,Shuiji,CN,27.4214,118.345,58.91,73,100,0.47,overcast clouds
291,Barpeta,IN,26.3167,91.0,64.4,77,75,11.63,mist
292,Tuatapere,NZ,-46.1333,167.6833,55.99,85,100,11.01,overcast clouds
293,Gari,RU,59.4307,62.3497,-8.28,92,97,1.99,overcast clouds
