City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
140,Lagos,NG,2021-03-06 08:41:20,6.5833,3.75,84.2,89,40,6.91
141,Mayor Pablo Lagerenza,PY,2021-03-06 08:41:21,-19.9309,-60.7718,69.69,81,27,4.41
142,Mecca,SA,2021-03-06 08:39:01,21.4267,39.8261,88.14,27,0,8.93
143,Faya,SA,2021-03-06 08:41:21,18.3851,42.4509,75.2,16,0,9.22
144,Kavieng,PG,2021-03-06 08:41:22,-2.5744,150.7967,83.05,74,100,5.66
145,Sisophon,KH,2021-03-06 08:41:22,13.5859,102.9737,100.56,24,0,5.06
146,Sangar,RU,2021-03-06 08:41:22,63.9242,127.4739,-25.2,85,23,3.38
147,Port Hardy,CA,2021-03-06 08:40:00,50.6996,-127.4199,42.8,93,90,8.05
148,Pauini,BR,2021-03-06 08:41:23,-7.7136,-66.9764,70.59,98,69,1.21
149,Manama,BH,2021-03-06 08:37:11,26.2154,50.5832,71.6,43,0,26.46
150,Fairbanks,US,2021-03-06 08:37:52,64.8378,-147.7164,0.0,84,75,0.63
151,Hyeres,FR,2021-03-06 08:41:23,43.1167,6.1167,55.4,82,75,6.91
152,Boralday,KZ,2021-03-06 08:41:24,43.3578,76.8594,48.2,46,40,4.47
153,Kaka,TM,2021-03-06 08:41:24,37.3482,59.6143,47.05,68,99,18.39
154,Maltahohe,NA,2021-03-06 08:41:24,-24.8333,16.9833,83.07,18,44,12.68
155,Mehamn,NO,2021-03-06 08:41:25,71.0357,27.8492,23.05,96,100,7.29
156,Kentau,KZ,2021-03-06 08:41:25,43.5206,68.5094,50.41,41,100,3.56
157,Asau,RO,2021-03-06 08:41:25,46.4333,26.4,34.0,37,98,10.92
158,Nacala,MZ,2021-03-06 08:41:26,-14.5428,40.6728,84.2,70,75,2.3
159,Saint-Pierre,RE,2021-03-06 08:41:26,-21.3393,55.4781,86.0,66,0,6.91
160,Nadym,RU,2021-03-06 08:41:26,65.5333,72.5167,10.49,95,94,7.05
161,Boyolangu,ID,2021-03-06 08:41:27,-8.1181,111.8935,81.77,78,78,5.01
162,Altay,CN,2021-03-06 08:41:27,47.8667,88.1167,27.3,88,0,2.24
163,Sarangani,PH,2021-03-06 08:41:27,5.4033,125.4636,82.6,76,79,21.54
164,Provideniya,RU,2021-03-06 08:41:27,64.3833,-173.3,-14.55,87,96,5.44
165,Bethel,US,2021-03-06 08:41:28,41.3712,-73.414,26.01,57,81,1.99
166,Kaduy,RU,2021-03-06 08:41:28,59.2,37.15,10.4,85,0,4.47
167,San Patricio,US,2021-03-06 08:41:28,28.017,-97.5169,60.8,55,1,21.85
168,Saldanha,ZA,2021-03-06 08:41:29,-33.0117,17.9442,64.4,82,72,10.36
169,Kisangani,CD,2021-03-06 08:41:29,0.5167,25.2,91.44,47,54,3.24
170,Castro,BR,2021-03-06 08:41:29,-24.7911,-50.0119,61.16,97,83,3.27
171,Huangchuan,CN,2021-03-06 08:41:30,32.1272,115.0394,47.86,81,100,13.04
172,Port Alfred,ZA,2021-03-06 08:41:30,-33.5906,26.891,73.99,80,0,10.0
173,Tiksi,RU,2021-03-06 08:41:30,71.6872,128.8694,-23.73,86,42,4.23
174,Touros,BR,2021-03-06 08:41:31,-5.1989,-35.4608,75.2,94,40,3.44
175,Nyurba,RU,2021-03-06 08:41:31,63.2842,118.3319,3.13,94,100,3.31
176,Rosetown,CA,2021-03-06 08:41:31,51.5501,-108.0014,37.4,75,100,17.27
177,Ayolas,PY,2021-03-06 08:41:32,-27.4,-56.9,64.85,76,0,5.32
178,Alice Springs,AU,2021-03-06 08:41:32,-23.7,133.8833,95.0,10,1,9.22
179,Faanui,PF,2021-03-06 08:41:32,-16.4833,-151.75,82.98,70,97,7.47
180,Lorengau,PG,2021-03-06 08:41:33,-2.0226,147.2712,81.75,80,98,7.38
181,Half Moon Bay,US,2021-03-06 08:41:33,37.4636,-122.4286,48.99,93,90,5.75
182,Hajduhadhaz,HU,2021-03-06 08:41:33,47.6833,21.6667,35.6,55,0,12.66
183,Xiangxiang,CN,2021-03-06 08:37:41,27.7333,112.5333,51.04,86,100,14.27
184,Tuatapere,NZ,2021-03-06 08:41:34,-46.1333,167.6833,57.99,74,99,1.01
185,Tessalit,ML,2021-03-06 08:41:34,20.1986,1.0114,86.99,14,29,10.02
186,Khatanga,RU,2021-03-06 08:41:34,71.9667,102.5,-17.77,84,63,10.0
187,Sainte-Marie,RE,2021-03-06 08:41:34,-20.8968,55.5496,82.4,78,90,3.44
188,Tucuman,AR,2021-03-06 08:39:12,-26.8241,-65.2226,68.0,83,0,12.66
189,Mtwara,TZ,2021-03-06 08:41:35,-10.2667,40.1833,82.4,74,75,13.8
190,San Carlos De Bariloche,AR,2021-03-06 08:38:49,-41.1456,-71.3082,60.8,63,0,6.91
191,Rongcheng,CN,2021-03-06 08:41:36,30.634,117.8517,46.99,87,100,11.34
192,Mgandu,TZ,2021-03-06 08:41:36,-5.95,34.1333,72.86,81,86,4.83
193,Praia Da Vitoria,PT,2021-03-06 08:41:36,38.7333,-27.0667,57.0,88,20,10.47
194,Xiuyan,CN,2021-03-06 08:41:37,40.2928,123.2744,29.62,69,0,8.81
195,Skelleftea,SE,2021-03-06 08:41:27,64.7507,20.9528,36.0,86,20,10.36
196,Boshnyakovo,RU,2021-03-06 08:41:37,49.6333,142.1667,2.17,90,100,8.75
197,Quatre Cocos,MU,2021-03-06 08:41:37,-20.2078,57.7625,87.8,74,75,16.11
198,Arroyo,ES,2021-03-06 08:41:37,41.6096,-4.7969,42.01,81,20,12.66
199,Hambantota,LK,2021-03-06 08:41:38,6.1241,81.1185,89.6,74,40,9.22
200,Meulaboh,ID,2021-03-06 08:41:38,4.1363,96.1285,82.94,75,93,3.56
201,Micheweni,TZ,2021-03-06 08:41:38,-4.9667,39.8333,82.15,70,100,8.3
202,Bukama,CD,2021-03-06 08:41:38,-9.2,25.85,82.15,73,100,1.21
203,Khomutovo,RU,2021-03-06 08:41:38,52.4658,104.4025,26.6,39,0,2.24
204,Voi,KE,2021-03-06 08:41:39,-3.3945,38.563,86.61,39,36,7.65
205,Kiama,AU,2021-03-06 08:41:39,-34.6833,150.8667,64.99,70,35,1.01
206,Simdega,IN,2021-03-06 08:41:39,22.6167,84.5167,95.95,8,3,14.07
207,Kupang,ID,2021-03-06 08:41:40,-10.1667,123.5833,84.2,84,40,6.91
208,Hobart,AU,2021-03-06 08:37:09,-42.8794,147.3294,57.2,62,75,12.66
209,Merauke,ID,2021-03-06 08:41:40,-8.4667,140.3333,81.81,80,34,8.7
210,Ballina,AU,2021-03-06 08:41:40,-28.8667,153.5667,73.4,68,90,10.36
211,West Lafayette,US,2021-03-06 08:41:41,40.4259,-86.9081,30.2,69,1,4.43
212,Lasa,IT,2021-03-06 08:41:41,46.6166,10.7002,46.0,80,0,4.61
213,Chalisgaon,IN,2021-03-06 08:41:41,20.4667,75.0167,97.41,9,0,6.46
214,Kiri Buru,IN,2021-03-06 08:41:42,22.0833,85.35,94.82,9,0,10.25
215,Barabinsk,RU,2021-03-06 08:41:42,55.3571,78.357,31.62,97,100,27.54
216,Rock Sound,BS,2021-03-06 08:41:42,24.9,-76.2,72.5,77,2,13.56
217,Lebu,CL,2021-03-06 08:40:20,-37.6167,-73.65,54.45,92,3,7.18
218,Gao,ML,2021-03-06 08:41:43,16.6362,1.637,88.47,11,12,19.51
219,Sorland,NO,2021-03-06 08:41:43,67.667,12.6934,25.38,90,100,33.93
220,Cabo San Lucas,MX,2021-03-06 08:40:09,22.8909,-109.9124,64.0,51,1,8.05
221,Kirovskiy,RU,2021-03-06 08:41:43,45.0917,133.5136,7.16,90,100,3.47
222,Monterey,US,2021-03-06 08:39:53,36.2505,-121.2516,48.99,1,0,4.0
223,Vilhena,BR,2021-03-06 08:41:44,-12.7406,-60.1458,67.64,99,100,1.19
224,Talcahuano,CL,2021-03-06 08:40:51,-36.7167,-73.1167,57.2,94,90,3.44
225,Longyearbyen,SJ,2021-03-06 08:41:44,78.2186,15.6401,6.8,61,20,23.02
226,Yulara,AU,2021-03-06 08:41:45,-25.2406,130.9889,100.4,14,40,9.22
227,Banda Aceh,ID,2021-03-06 08:41:45,5.5577,95.3222,84.56,70,64,10.49
